Model,Macro_F1 (Test),Accuracy (Test)
SVM (Linear) C=60,0.935608335823594,0.9247153874403232
"SVM (RBF) C=10, gamma=scale",0.9417641775675089,0.9313257436650753
"SVM (Poly) C=1, degree=3, gamma=scale, coef0=1",0.940155230717876,0.9298567756151304
