Model,Macro_F1 (Test),Accuracy (Test)
SVM (Linear) C=100,0.927726444247827,0.9144326110907087
"SVM (RBF) C=3, gamma=scale",0.9349577547217526,0.922879177377892
"SVM (Poly) C=40, degree=2, gamma=scale, coef0=1",0.936762191805229,0.9261843554902681
SVM (Linear) C=20000000000,0.9300729485032824,0.9170033051781123
"SVM (RBF) C=4, gamma=scale",0.936222445042551,0.9239809034153507
"SVM (Poly) C=40, degree=2, gamma=scale, coef0=1",0.936762191805229,0.9261843554902681
